nhl_game_id,play_by_play_id,is_goal,is_sog,shot_distance,abs_shot_angle,shot_type_bucket,rebound_bucket,rush_bucket,strength_bucket,shot_side,off_wing,previous_event_type,previous_event_seconds_delta,score_state_bucket,time_bucket,period_bucket
2025020512,3480369,0,0,43.01,1.332,slap,not_rebound,not_rush,pp,center,unknown,faceoff,6,tied,middle_period,p1
2025020512,3480371,0,1,32.80,37.569,snap,not_rebound,not_rush,pp,left,false,missed-shot,22,tied,middle_period,p1
2025020512,3480376,0,0,22.63,45.000,tip,not_rebound,rush_attempt,ev,right,true,giveaway,0,tied,middle_period,p1
2025020512,3480389,0,0,29.15,157.834,snap,not_rebound,not_rush,ev,left,false,giveaway,19,tied,middle_period,p1
2025020512,3480391,0,1,26.93,148.671,snap,not_rebound,not_rush,ev,left,true,missed-shot,7,tied,middle_period,p1
2025020512,3480403,0,1,27.80,127.694,snap,not_rebound,not_rush,pp,left,false,faceoff,17,tied,middle_period,p1
2025020512,3480407,0,0,19.92,162.474,snap,not_rebound,not_rush,pp,center,unknown,hit,45,tied,middle_period,p1
2025020512,3480411,0,1,2.83,135.000,snap,not_rebound,not_rush,pp,center,unknown,giveaway,36,tied,middle_period,p1
2025020512,3480413,0,1,4.24,135.000,snap,rebound,not_rush,pp,center,unknown,shot-on-goal,1,tied,middle_period,p1
2025020512,3480429,0,1,48.55,57.619,snap,not_rebound,not_rush,ev,left,false,hit,6,tied,late_period,p1
2025020512,3480435,0,1,42.58,9.462,snap,not_rebound,not_rush,ev,center,unknown,faceoff,7,tied,late_period,p1
2025020056,3440996,0,0,9.43,147.995,backhand,rebound,rush_attempt,ev,center,unknown,blocked-shot,2,leading_by_1,late_period,p2
2025020056,3441001,0,1,31.02,159.228,wrist,not_rebound,rush_attempt,ev,right,false,blocked-shot,8,leading_by_1,late_period,p2
2025020056,3441003,0,0,26.40,24.624,wrist,not_rebound,not_rush,ev,right,false,blocked-shot,13,trailing_by_1,late_period,p2
2025020056,3441007,0,0,48.00,180.000,slap,not_rebound,rush_attempt,ev,center,unknown,giveaway,1,leading_by_1,late_period,p2
2025020056,3441011,0,0,9.06,6.340,tip,not_rebound,not_rush,ev,center,unknown,hit,30,trailing_by_1,late_period,p2
